"","name","0","1","2","3","4","5","7","14","128","6","11","12","8","18","58","36","69","10","21","39","88","16"
"1","Albemarle",830150,49548,0,0,9094,0,0,141050,2385,0,0,0,0,0,0,0,0,0,0,11,0,0
"2","Augusta",430250,10153,23422,0,2734,556,730,1086,14146,256,3848,0,0,47,0,0,0,50662,21003,51665,44843,0
"3","Clarke",64682,56,5767,23002,0,0,53903,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Culpeper",386387,21865,13100,20091,0,0,0,0,53732,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",438538,71483,23446,7730,0,0,50735,0,2110,0,3937,0,7030,0,0,0,0,0,0,0,0,0
"6","Frederick",310985,178596,79248,1939,12392,1,16,657,407,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",92657,4243,0,0,0,0,0,59047,32,0,0,0,0,0,32147,0,0,0,0,0,0,0
"8","Loudoun",243702,37939,23759,39,0,4112,0,0,743,29807,3729,0,0,0,0,0,0,0,0,0,0,0
"9","Madison",241906,861,0,0,0,0,0,0,10899,0,0,0,0,0,106726,0,0,0,0,0,0,0
"10","Orange",369155,80362,0,0,0,0,0,0,15860,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Page",77983,11439,405,242,14309,0,22448,0,43,0,16556,0,0,0,0,31580,134386,0,0,0,0,0
"12","Rappahannock",176122,1965,29744,0,0,0,0,0,1,0,0,0,0,72697,15528,0,0,0,0,0,0,0
"13","Rockingham",237920,77317,3614,0,0,0,11,0,10238,2781,87588,0,0,0,0,0,15977,0,27411,48249,0,135010
"14","Shenandoah",222421,133556,2247,1940,69504,0,58037,0,254,0,5782,48410,0,0,0,0,0,0,0,0,0,0
"15","Warren",125895,36397,4147,42,27369,956,15838,0,120,0,0,4370,0,9884,0,40456,0,0,0,0,0,0
