"","name","0","2","3","4","5","6","7","8","9","10","11","13","14","15","16","12"
"1","Albemarle",4315,0,207539,213378,254283,1421,177508,22863,60057,95875,10628,0,0,19,0,16704
"2","Augusta",25438,0,210214,103087,72779,13493,127572,21695,47394,31110,1114,0,2,1383,0,5
"3","Clarke",13659,0,20,22699,7776,6047,29446,8907,24367,17273,1938,3544,0,65,0,13877
"4","Culpeper",2592,0,20308,103948,164625,303,4427,6946,44635,105789,5504,0,0,0,0,10131
"5","Fauquier",2590,0,11065,98385,103320,13135,39247,2499,123943,173159,55455,0,0,0,0,9844
"6","Frederick",3463,1399,62943,128423,316008,15,80616,13728,6404,15776,461,4005,74,1366,7,0
"7","Greene",656,0,57400,6850,30446,173,57176,3767,14027,19373,2392,0,0,0,0,1753
"8","Loudoun",4339,0,9150,35074,41956,75932,12042,2632,34871,109228,26789,0,556,0,775,54401
"9","Madison",28011,0,25510,73358,72070,9211,126240,962,17794,1511,386,0,0,0,0,1093
"10","Orange",3273,0,52337,307840,53401,6329,10428,3735,10780,20230,1567,0,0,0,0,2142
"11","Page",3370,0,18966,61428,153464,149,25342,8626,25966,4620,0,0,1280,1104,1127,7533
"12","Rappahannock",58023,0,21348,38881,44957,0,125249,1222,5803,1963,964,0,0,0,0,437
"13","Rockingham",38325,0,123059,159872,146773,40326,80997,9697,29945,17384,0,0,24,591,0,0
"14","Shenandoah",13272,0,92597,103225,210749,1332,80133,4488,31167,10617,97,0,409,1819,4917,0
"15","Warren",2464,0,20,48866,86447,147,48081,1211,9465,75622,2354,3,0,0,12,14
