"","name","0","2","3","4","5","7","8","9","10","11","13","14","15","16","6","12"
"1","Albemarle",3839,0,198151,205162,248617,173813,22623,58056,95045,10079,0,0,19,0,773,16061
"2","Augusta",25160,0,210738,102965,72586,126868,21595,47911,31690,1122,0,0,1348,0,13413,5
"3","Clarke",13195,0,20,22463,7736,29375,8683,24043,16703,1906,3426,0,65,0,6026,13823
"4","Culpeper",2827,0,21854,109858,170797,4476,7535,49618,111479,5861,0,0,0,0,359,10511
"5","Fauquier",2414,0,10913,94410,101533,39205,2416,119038,160098,53620,0,0,0,0,12700,8662
"6","Frederick",3281,1399,53844,123027,291761,74920,12015,4661,14640,352,3493,73,768,7,0,0
"7","Greene",640,0,54202,6665,29502,56153,3700,13745,19373,2234,0,0,0,0,159,1753
"8","Loudoun",3339,0,9096,31561,39758,11735,2435,28564,76819,24188,0,505,0,613,63438,51779
"9","Madison",28038,0,25608,75397,72412,126445,959,19318,1547,423,0,0,0,0,9046,1199
"10","Orange",3172,0,51988,302673,53588,10208,3733,10956,18621,1669,0,0,0,0,6617,2152
"11","Page",3339,0,18470,59832,152753,25153,8287,25919,4607,0,0,1216,1039,1094,149,7533
"12","Rappahannock",57921,0,21057,38346,44206,124274,1188,5719,1963,946,0,0,0,0,0,437
"13","Rockingham",37429,0,121360,159819,147355,81192,10150,30005,17662,0,0,24,643,0,40477,0
"14","Shenandoah",12320,0,89083,102163,209086,79809,3467,28026,10389,84,0,406,1684,4672,962,0
"15","Warren",2264,0,20,45683,84705,46905,1181,7760,74642,2138,3,0,0,12,147,14
