"","name","0","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","7","91","92","93","94","95","96","97","98","99","100","5","4"
"1","Albemarle",46477,61,172,281,713,1110,1581,2149,3718,6347,6206,7594,10748,14214,16384,17873,21778,21851,24985,25757,28347,29248,27019,25234,24934,20882,20532,20326,19603,20009,20346,21295,21430,21838,22619,23256,23136,23807,24152,24064,23965,23834,23661,23507,22422,22239,21850,20249,19140,16869,15509,13878,12466,11340,10149,9319,8681,8470,6892,6078,4951,4421,3414,2850,2294,1909,1738,1817,1260,1106,809,701,462,345,199,175,155,163,68,4,3,3,2,2,0,106,0,0,0,0,0,0,0,0,0,0,30,6
"2","Augusta",56228,0,0,0,1,2,17,127,141,197,243,292,425,601,891,1137,1739,2203,3176,4081,5599,7384,10057,12724,15146,17457,20489,22509,22650,24912,28897,25037,26406,25611,25294,24814,24049,22290,20618,20620,18343,17153,16869,15198,13744,11153,9841,8892,7350,7009,6086,5576,5168,4719,4248,3691,3323,2846,2483,2285,1775,1394,1311,1306,948,804,603,346,264,337,113,56,77,26,15,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Clarke",8638,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,14,25,35,43,51,55,99,175,255,384,544,598,667,932,1111,2119,3461,3831,3578,3918,4267,4977,5595,6466,6510,6593,6605,5743,5641,5471,5316,5564,5016,4310,3938,3426,3151,2691,2458,2091,2220,2049,1791,2046,1629,1424,1395,1153,1028,993,975,729,655,550,365,341,268,243,185,175,150,119,76,73,55,48,0,44,30,26,22,14,9,6,1,5,5,0,0
"4","Culpeper",71786,0,0,0,21,98,107,138,146,248,282,461,488,1556,2342,4301,7552,7144,6437,7953,6564,7032,6691,6596,7385,7401,8123,7693,8433,8995,9236,9387,8828,7875,7728,9112,9709,9453,12633,12179,12043,12324,8561,7976,8039,8219,8157,8375,7985,7670,7477,7337,7325,6884,6976,7198,7150,6540,6240,5906,5422,5342,4975,4526,4289,4300,3866,2972,2193,1887,1692,1535,1276,1043,792,820,466,151,101,57,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",31946,0,1,0,9,173,312,579,1035,1165,1332,1531,1937,2464,3836,4086,4339,4859,6633,6807,6476,6314,6491,10202,12638,12290,11584,14663,16147,13772,12099,11165,10845,11496,11263,11509,12986,13004,11716,13470,12433,11034,10945,10191,10070,10261,10498,10233,10519,10282,10191,10529,9851,9676,9270,9107,9323,8903,8240,7720,7459,7203,6954,5989,5573,5993,5388,4505,4242,3636,3713,3488,3087,2700,2199,1810,1936,1326,1165,1166,1095,418,199,139,53,2,21,21,4,5,5,0,0,0,0,0,0,0
"6","Frederick",25685,1,5,13,28,20,31,93,255,424,677,1293,2426,3206,3842,4287,4690,5321,6096,6885,7884,9264,11031,11864,12208,13256,14318,15372,15754,16599,17511,17823,18016,18383,18036,18542,18857,18668,17779,16384,15663,14946,14158,13449,12663,11540,10450,9733,9611,8963,8211,7727,7214,6449,5678,5204,4460,3962,3310,2763,2500,2234,1860,1524,1474,1044,948,733,561,349,226,163,88,66,40,46,10,12,14,5,3,4,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",9774,0,0,0,4,6,11,15,12,16,29,74,217,352,581,1076,1803,2794,4329,5867,6914,7067,6848,7314,7098,6809,7533,5928,5296,4658,4553,4018,3925,3766,3590,3654,3560,3363,3494,3497,3525,3560,3606,3920,3743,3590,3335,3353,3217,3001,2630,2477,2340,2067,1995,1701,1438,1236,1186,972,899,751,670,541,487,354,364,317,284,278,299,201,134,100,82,50,34,19,13,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Loudoun",27542,9,12,19,13,18,13,21,1065,171,427,789,1159,826,536,458,522,910,1326,1098,969,1557,1435,1464,1849,2968,5447,6612,8138,11542,13739,12450,10931,10395,9793,8995,8213,8108,7178,6553,6297,5400,4995,4653,4092,4217,4003,4267,4361,4524,4609,4748,5107,5096,5365,5398,5663,5503,5568,5396,5552,5365,5294,5372,5381,5952,5270,4219,3537,3349,2989,2591,3099,2728,2090,1806,1409,1017,581,500,336,197,102,52,33,29,27,5,3,0,0,0,0,0,0,0,0,0
"9","Madison",28294,0,0,1,3,10,28,50,96,130,275,461,569,813,1584,3092,5378,7597,8489,10118,10457,10888,10736,10651,10749,10545,10438,12062,10029,9041,8697,8415,8966,9212,6674,6467,6429,6432,6448,6184,6396,6585,6711,6890,7366,7452,7230,6720,6191,5781,5189,4598,4306,3983,3824,3360,3211,2879,2490,2188,1798,1490,1176,951,872,840,516,370,289,246,272,166,109,92,79,111,46,35,16,12,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Orange",35002,0,2,93,350,313,256,259,520,707,1220,3145,3337,12946,9786,11248,11641,8796,7352,6923,6913,7710,6746,7033,7638,9881,10503,11488,10641,10490,8623,8105,8298,7863,7868,8432,8244,8417,8166,8464,8584,8719,8807,8812,8793,8742,8667,8513,8454,7828,7825,7715,7309,6578,6028,5577,5433,5171,4700,4565,4205,3697,3563,3474,2948,2444,2070,1743,1402,1146,1043,1093,875,675,486,424,351,279,318,276,216,92,42,20,14,0,7,1,0,3,1,0,0,0,0,0,0,0
"11","Page",14402,0,0,0,0,0,0,0,0,0,16,23,40,80,70,112,170,195,355,428,554,913,1368,1900,3169,4655,5277,6070,7353,8688,9609,11077,12032,12808,13803,14503,14265,13987,13571,13058,12139,11599,10881,10203,8924,8248,7312,6685,6301,5315,4347,3927,3598,3206,2936,2667,2282,2196,1827,1713,1552,1196,1032,891,935,627,545,516,496,148,172,110,111,29,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Rappahannock",13290,0,2,8,11,18,101,166,556,910,1324,1662,2487,3885,4817,6611,8315,9076,9211,9460,9618,9351,9172,8721,8014,7972,6787,6423,5418,4992,4912,4426,4288,4352,4369,4652,4752,5044,5258,5228,5536,5610,5735,5609,5639,5560,5727,5612,5225,4976,4754,4918,4630,4430,3940,3598,3212,2701,2151,1780,1472,1333,1049,885,755,569,540,484,309,283,164,136,86,76,47,29,16,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Rockingham",41278,1,38,27,29,18,11,26,34,156,763,1124,1524,2529,2301,2301,2319,2590,3340,3742,6770,8010,8413,9481,9638,11192,11882,12912,14602,16274,17044,17438,19632,18555,19958,20256,21989,22670,23216,23645,23144,22220,21607,20026,18358,16319,14814,13601,12109,10756,9649,8694,8134,7292,6988,6097,5444,5156,4756,4043,3831,3486,2973,2730,2193,1947,1394,1167,1079,821,628,431,393,199,245,75,14,2,7,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"14","Shenandoah",26502,0,0,0,0,0,0,0,0,1,4,6,18,20,23,57,120,231,340,544,861,1282,1536,2196,2661,2967,3651,4639,5552,6504,7250,8865,10247,11519,13080,15007,17104,19378,20275,21374,23287,23609,24515,24559,24309,22233,20422,18884,17547,15211,13380,12233,11082,9874,9205,9013,7818,6795,6462,5548,5396,4653,4155,3597,2897,2458,1939,1699,1143,804,767,556,548,272,121,115,148,23,6,4,6,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Warren",13378,0,0,0,0,0,0,0,0,0,0,3,5,6,0,8,3,17,26,46,84,160,175,186,287,492,695,917,1110,1484,1668,1917,2201,2649,3240,3791,4743,5578,5946,6685,7261,7938,8221,8745,9193,9500,9704,9915,10166,10052,9981,10012,9720,9185,8654,7875,7575,6652,5856,5350,4692,3940,3431,2963,2224,2079,1781,1493,1340,1218,1105,939,844,715,605,499,415,343,288,242,203,133,106,82,87,0,18,25,0,0,0,0,0,0,0,0,0,0
