"","name","0","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","7","91","92","93","94","95","96","97","98","99","100","4","5"
"1","Albemarle",45823,68,174,271,692,1129,1603,2145,3745,6402,6269,7678,10723,14204,16317,17805,21673,21739,24846,25616,28197,29006,26904,25080,24814,20795,20472,20232,19454,19935,20222,21171,21248,21714,22492,23092,22946,23575,23936,23808,23719,23579,23344,23110,22067,21822,21487,19974,18836,16612,15338,13736,12317,11218,10106,9249,8659,8410,6870,6029,4919,4412,3410,2850,2285,1903,1719,1829,1256,1100,817,700,468,346,200,175,153,163,68,4,3,3,2,2,0,113,0,0,0,0,0,0,0,0,0,0,6,38
"2","Augusta",56548,0,0,0,1,2,17,149,138,189,243,289,422,597,880,1135,1756,2168,3062,3954,5443,7190,9822,12480,14941,17283,20408,22587,22667,24940,28976,25104,26520,25725,25425,25008,24165,22453,20731,20806,18468,17283,17070,15223,13858,11247,9942,9037,7471,7168,6164,5644,5236,4752,4299,3718,3345,2875,2506,2307,1783,1403,1326,1307,956,817,611,348,268,339,113,54,77,26,15,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Clarke",8611,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,14,25,34,43,51,55,99,175,256,385,546,598,671,934,1114,2110,3483,3840,3585,3882,4282,4993,5584,6428,6499,6561,6546,5707,5621,5405,5299,5540,5031,4288,3936,3423,3146,2687,2458,2087,2219,2053,1790,2047,1631,1431,1396,1152,1027,994,976,727,653,551,365,341,268,243,185,175,150,119,76,73,55,48,0,44,30,26,22,14,9,6,1,5,5,0,0
"4","Culpeper",73262,0,0,0,23,120,121,148,150,256,295,462,451,1610,2450,4476,7707,7228,6553,8127,6734,7123,6829,6745,7340,7433,8160,7739,8421,9081,9207,9346,8741,7874,7783,9149,9846,9547,12744,12329,12017,12508,8661,8094,8171,8276,8235,8484,8005,7795,7603,7411,7470,6987,7136,7288,7194,6643,6292,5983,5385,5403,5027,4563,4366,4422,3934,3061,2204,1915,1710,1540,1248,1018,758,806,470,154,98,58,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",32120,0,1,0,9,164,319,590,1026,1152,1341,1524,1935,2464,3860,4114,4345,4891,6658,6884,6561,6388,6571,10321,12861,12503,11876,14881,16307,13963,12180,11266,10950,11754,11485,11689,13286,13177,11871,13659,12883,11251,11211,10463,10217,10437,10723,10358,10716,10439,10365,10722,9972,9847,9481,9222,9572,9079,8455,7867,7580,7381,7091,6115,5697,6117,5499,4588,4330,3733,3881,3589,3140,2711,2238,1891,2012,1306,1200,1209,1104,425,209,145,55,2,27,23,5,5,5,0,0,0,0,0,0,0
"6","Frederick",25957,1,5,12,15,10,26,96,273,438,689,1296,2523,3223,3866,4308,4759,5448,6411,7240,8339,9832,11643,12395,12864,13891,14884,15940,16347,17187,18134,18414,18484,18731,18209,19001,19132,18963,18183,16765,16080,15279,14475,13728,12958,11826,10698,9911,9849,9197,8376,7876,7373,6528,5782,5302,4554,3997,3341,2758,2474,2232,1842,1517,1452,1022,924,747,552,348,216,161,86,65,34,37,9,9,12,5,3,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",9699,0,0,0,4,6,11,16,13,12,25,63,205,338,575,1051,1748,2760,4326,5891,6935,7110,6859,7309,7090,6799,7525,5947,5283,4635,4540,3995,3924,3735,3568,3619,3533,3349,3489,3454,3522,3537,3590,3887,3694,3562,3317,3294,3190,2980,2581,2470,2313,2046,1961,1707,1438,1234,1188,967,894,744,674,536,479,351,365,302,276,269,300,197,134,102,83,46,31,19,13,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Loudoun",27318,4,7,11,18,9,12,30,1274,162,409,721,1099,808,502,437,532,843,1136,983,863,1341,1310,1408,1769,2941,5511,6719,8170,11777,13725,12488,10932,10420,9837,8903,8258,8091,7239,6723,6317,5556,5086,4715,4117,4273,4015,4322,4361,4597,4657,4864,5141,5214,5456,5486,5696,5592,5712,5441,5606,5472,5355,5475,5459,6018,5246,4258,3542,3331,3013,2594,3167,2747,2108,1827,1410,1044,614,561,345,206,105,53,33,27,28,5,3,0,0,0,0,0,0,0,0,0
"9","Madison",29132,0,0,2,9,16,39,58,96,140,280,458,563,815,1560,3055,5349,7557,8474,10100,10396,10876,10718,10651,10758,10571,10458,12074,10038,9054,8721,8459,9001,9244,6672,6486,6440,6457,6524,6247,6424,6624,6738,6915,7390,7457,7218,6763,6252,5808,5211,4626,4370,4005,3830,3363,3174,2917,2511,2190,1812,1488,1174,962,867,843,514,370,292,245,268,169,107,90,76,111,47,32,16,12,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
